GC	start	end	Chromosome	type	Entrezgene
48.11	4319457	4330724	HSCHR6_MHC_DBB_CTG1	protein_coding	3115
43.54	121452314	121633763	11	protein_coding	6653
37.92	54324358	54357964	18	protein_coding	147323
42.83	4087706	4123110	HSCHR6_MHC_DBB_CTG1	protein_coding	5698
55.45	1969202	1973940	HSCHR6_MHC_COX_CTG1	protein_coding	3133
35.90	33785	56132	HSCHR4_11_CTG12	protein_coding	2483
41.50	1314821	1320825	HSCHR6_MHC_DBB_CTG1	protein_coding	30834
46.95	4683491	4687991	HSCHR6_MHC_COX_CTG1	protein_coding	6222
51.87	2836632	2840722	HSCHR6_MHC_DBB_CTG1	protein_coding	259197
45.02	1206635	1222378	HSCHR6_MHC_COX_CTG1	protein_coding	3134
48.60	28797	29726	HSCHR7_3_CTG4_4	protein_coding	392138
48.71	49674	50603	HSCHR7_3_CTG4_4	protein_coding	346525
50.42	64143	65096	HSCHR7_3_CTG4_4	protein_coding	442361
44.31	116955	119843	HSCHR4_11_CTG12	protein_coding	448831
42.85	3680147	3685357	HSCHR6_MHC_DBB_CTG1	protein_coding	3122
52.86	83671	84597	HSCHR7_3_CTG4_4	protein_coding	135941
40.65	12446512	12658107	18	protein_coding	56907
42.43	109237120	109326369	5	lncRNA	285638
41.91	138069	140399	HSCHR7_3_CTG4_4	protein_coding	100128553
53.99	141497	142948	HSCHR7_3_CTG4_4	protein_coding	445328
59.07	2526549	2529920	HSCHR6_MHC_DBB_CTG1	protein_coding	3107
56.24	186517	187437	HSCHR7_3_CTG4_4	protein_coding	402317
50.11	213293	214222	HSCHR7_3_CTG4_4	protein_coding	401427
48.52	138347648	138405534	3	protein_coding	22808
35.83	102371774	102499016	5	protein_coding	133482
41.91	221514	223844	HSCHR7_3_CTG4_4	protein_coding	100142659
39.95	20779973	21293011	10	protein_coding	10529
56.63	2360744	2379927	HSCHR6_MHC_COX_CTG1	protein_coding	780
56.24	272736	273656	HSCHR7_3_CTG4_4	protein_coding	346528
45.42	4493046	4498501	HSCHR6_MHC_DBB_CTG1	lncRNA	414765
50.16	2900187	2905981	HSCHR6_MHC_DBB_CTG1	protein_coding	55937
47.35	3182228	3189502	HSCHR6_MHC_DBB_CTG1	lncRNA	102060414
47.93	404891	430104	HSCHR7_3_CTG4_4	protein_coding	7984
45.92	989677	1012119	HSCHR6_MHC_DBB_CTG1	lncRNA	285830
49.28	139911238	139916620	8	lncRNA	105375781
52.38	127960633	127960695	8	miRNA	100302161
54.16	4532820	4541919	HSCHR6_MHC_DBB_CTG1	protein_coding	10471
50.31	446710	459685	HSCHR7_3_CTG4_4	protein_coding	135935
42.37	128008898	128008956	8	miRNA	100302170
62.07	128049152	128049238	8	miRNA	100302175
45.96	127946559	127948723	8	lncRNA	641384
39.50	51177425	51260163	17	protein_coding	54799
39.30	3522	13419	HSCHR7_3_CTG4_4	protein_coding	393046
50.00	847798	847881	HSCHR6_MHC_DBB_CTG1	snoRNA	692092
44.74	2784146	2784221	HSCHR6_MHC_DBB_CTG1	snoRNA	692233
47.44	2788871	2788948	HSCHR6_MHC_DBB_CTG1	snoRNA	692199
35.82	52370602	52390056	2	lncRNA	105374596
43.94	2870846	2870977	HSCHR6_MHC_DBB_CTG1	snoRNA	677820
45.61	4661769	4683528	HSCHR6_MHC_COX_CTG1	protein_coding	6293
57.14	3083042	3083104	HSCHR6_MHC_DBB_CTG1	snoRNA	26801
43.28	3084854	3084920	HSCHR6_MHC_DBB_CTG1	snoRNA	26797
35.54	34998273	35000160	2	lncRNA	105374461
37.42	639071	715620	HSCHR6_MHC_DBB_CTG1	protein_coding	81797
45.74	662064	663132	HSCHR6_MHC_DBB_CTG1	protein_coding	26529
37.28	688137	697489	HSCHR6_MHC_DBB_CTG1	lncRNA	81696
39.08	691032	722594	HSCHR6_MHC_DBB_CTG1	protein_coding	26531
50.00	704828	706499	HSCHR6_MHC_DBB_CTG1	protein_coding	442194
44.71	393697	414688	HSCHR6_MHC_COX_CTG1	protein_coding	5987
41.35	722704	729851	HSCHR6_MHC_DBB_CTG1	protein_coding	26716
38.27	104488458	104510509	2	lncRNA	101927360
36.66	78088729	78127806	2	lncRNA	101927948
45.45	793280	794245	HSCHR6_MHC_COX_CTG1	protein_coding	442191
49.78	752289	753425	HSCHR6_MHC_DBB_CTG1	protein_coding	116511
47.38	4169671	4177108	HSCHR6_MHC_COX_CTG1	protein_coding	3120
47.68	763032	776079	HSCHR6_MHC_DBB_CTG1	lncRNA	105375009
50.35	1515466	1522820	HSCHR6_MHC_DBB_CTG1	lncRNA	3139
54.17	3436507	3447178	HSCHR6_MHC_COX_CTG1	protein_coding	6499
35.85	75120409	75352327	8	lncRNA	101805492
45.69	1053845	1060626	HSCHR6_MHC_DBB_CTG1	lncRNA	352962
40.94	147732063	148072776	4	protein_coding	79658
48.12	133191039	133231690	8	protein_coding	8840
57.43	24136163	24138967	14	protein_coding	5720
40.53	102619553	102711355	2	protein_coding	6549
36.85	680444	684435	HSCHR6_MHC_DBB_CTG1	protein_coding	26530
49.96	2313701	2316162	HSCHR6_MHC_DBB_CTG1	transcribed_processed_pseudogene	285834
48.40	2312821	2319262	HSCHR6_MHC_DBB_CTG1	lncRNA	285834
41.90	659846	661117	HSCHR6_MHC_COX_CTG1	protein_coding	26707
52.80	3448602	3458873	HSCHR6_MHC_COX_CTG1	protein_coding	8859
52.92	4611950	4615944	HSCHR6_MHC_COX_CTG1	protein_coding	7922
52.65	3423077	3429511	HSCHR6_MHC_COX_CTG1	protein_coding	629
49.72	82519713	82644662	17	protein_coding	3607
45.16	126905409	127452517	10	protein_coding	1793
51.08	58633946	58666834	3	protein_coding	131177
53.97	3092473	3094310	HSCHR6_MHC_COX_CTG1	protein_coding	199
58.36	142872356	142879846	8	protein_coding	1584
44.81	4360810	4382925	HSCHR6_MHC_COX_CTG1	protein_coding	3108
46.17	168225279	168226517	6	lncRNA	105378137
58.26	170160606	170163142	6	lncRNA	102724511
38.77	57172326	57189833	6	protein_coding	9532
53.64	3340610	3356471	HSCHR6_MHC_COX_CTG1	protein_coding	80736
52.82	141639302	141651418	5	protein_coding	89848
41.39	943634	950780	HSCHR6_MHC_COX_CTG1	protein_coding	26716
42.39	101002229	101024032	2	protein_coding	6160
56.93	3135587	3138059	HSCHR6_MHC_COX_CTG1	protein_coding	57827
52.61	3146409	3150837	HSCHR6_MHC_COX_CTG1	protein_coding	58496
47.05	1582690	1592905	HSCHR6_MHC_COX_CTG1	protein_coding	11074
54.64	137492199	137494394	6	protein_coding	167826
49.88	3375210	3423101	HSCHR6_MHC_COX_CTG1	protein_coding	717
53.14	41088451	41096195	19	protein_coding	1553
35.75	324905	449328	HSCHR7_4_CTG1	lncRNA	102723605
37.65	57186992	57222307	6	protein_coding	51715
52.98	4619998	4624223	HSCHR6_MHC_COX_CTG1	protein_coding	6015
48.08	3024196	3036142	HSCHR6_MHC_COX_CTG1	protein_coding	4795
64.29	4688613	4690306	HSCHR6_MHC_COX_CTG1	protein_coding	8705
52.48	2597465	2602822	HSCHR6_MHC_COX_CTG1	protein_coding	1041
39.14	141738249	141747560	3	protein_coding	9616
53.46	3098008	3115058	HSCHR6_MHC_COX_CTG1	protein_coding	7916
41.90	1226044	1296421	20	protein_coding	642636
41.41	47968046	47992170	19	protein_coding	100131137
50.06	925755	927426	HSCHR6_MHC_COX_CTG1	protein_coding	442194
51.33	4730043	4740754	HSCHR6_MHC_COX_CTG1	protein_coding	113523636
51.33	4730043	4740754	HSCHR6_MHC_COX_CTG1	protein_coding	1616
41.83	37007857	37130368	19	protein_coding	147923
45.26	587489	588427	HSCHR6_MHC_COX_CTG1	unprocessed_pseudogene	442185
37.65	3828610	3831778	HSCHR6_MHC_COX_CTG1	lncRNA	414764
53.04	2199940	2205165	HSCHR6_MHC_COX_CTG1	protein_coding	203068
51.90	4690589	4701012	HSCHR6_MHC_COX_CTG1	protein_coding	9277
41.14	149658153	149718105	6	protein_coding	9113
46.05	1585033	1594523	HSCHR6_MHC_COX_CTG1	lncRNA	104533120
34.61	69244311	69327244	17	protein_coding	23461
56.09	2156133	2167639	HSCHR6_MHC_COX_CTG1	protein_coding	170954
39.36	125528858	125595497	3	protein_coding	114885
43.01	33473386	33513185	8	protein_coding	80185
56.59	4616147	4618332	HSCHR6_MHC_COX_CTG1	protein_coding	7923
58.96	3459451	3473740	HSCHR6_MHC_COX_CTG1	protein_coding	721
40.18	56507850	56530221	19	protein_coding	57573
43.01	2921972	2927272	HSCHR6_MHC_COX_CTG1	lncRNA	101929111
48.28	2319260	2327898	HSCHR6_MHC_COX_CTG1	lncRNA	105375014
50.36	3164239	3180705	HSCHR6_MHC_COX_CTG1	protein_coding	7920
41.26	36355	41373	HSCHR4_2_CTG8_1	protein_coding	6189
51.48	3616712	3619145	HSCHR6_MHC_COX_CTG1	protein_coding	6048
50.58	4252915	4256902	HSCHR6_MHC_COX_CTG1	protein_coding	5696
42.86	64078361	64087363	3	lncRNA	100287879
44.38	123023250	123036725	5	protein_coding	5480
43.00	3877968	3883135	HSCHR6_MHC_COX_CTG1	protein_coding	3122
45.22	123067025	123225227	3	protein_coding	10954
27.78	38788	38859	HSCHR4_2_CTG8_1	snoRNA	114655
40.78	39482	262336	HSCHR4_2_CTG8_1	protein_coding	152503
56.58	4574189	4604006	HSCHR6_MHC_COX_CTG1	protein_coding	1302
45.12	59123381	59259113	20	protein_coding	128611
39.30	97756333	97995948	2	protein_coding	23505
42.31	54053584	54112519	1	protein_coding	127428
39.04	117957	123145	HSCHR8_1_CTG6	lncRNA	26138
37.25	99640	105027	HSCHR8_1_CTG6	lncRNA	286177
51.52	41114432	41128381	19	protein_coding	1572
37.81	65714334	65842322	8	protein_coding	5150
37.25	165684639	165762778	4	lncRNA	101928151
42.36	33490075	33650036	20	protein_coding	9139
38.63	40512333	40755963	5	protein_coding	23548
35.38	40558	40622	HSCHR4_2_CTG8_1	snoRNA	8944
44.68	184088706	184221230	4	protein_coding	133121
55.57	3063411	3066192	HSCHR6_MHC_COX_CTG1	protein_coding	7940
39.75	213892	228593	HSCHR4_2_CTG8_1	protein_coding	345062
37.44	153004459	153131282	6	protein_coding	26575
56.18	29455105	29464963	16	lncRNA	100526831
55.33	52032103	52033810	1	protein_coding	112970
53.51	24138959	24141591	14	protein_coding	51016
33.64	73305609	73355253	1	lncRNA	101927295
55.45	3019634	3020468	HSCHR6_MHC_COX_CTG1	lncRNA	106478957
56.50	2410947	2411769	HSCHR6_MHC_COX_CTG1	protein_coding	389376
42.10	3832055	3845208	HSCHR6_MHC_COX_CTG1	protein_coding	56244
49.18	3021792	3024174	HSCHR6_MHC_COX_CTG1	protein_coding	534
44.37	153417	158192	HSCHR8_3_CTG1	protein_coding	503618
44.37	153417	158192	HSCHR8_3_CTG1	protein_coding	140596
49.92	181040225	181061521	5	protein_coding	153579
38.38	170774	172696	HSCHR8_3_CTG1	protein_coding	504180
38.38	170774	172696	HSCHR8_3_CTG1	protein_coding	245908
51.15	168292830	168319777	6	protein_coding	168002
48.85	222731	225553	HSCHR8_3_CTG1	protein_coding	100133251
48.85	222731	225553	HSCHR8_3_CTG1	protein_coding	100131608
43.63	97913	99936	HSCHR8_3_CTG1	protein_coding	100289462
43.63	97913	99936	HSCHR8_3_CTG1	protein_coding	1673
43.68	29599179	29599265	16	miRNA	100847041
58.78	239803	242815	HSCHR8_3_CTG1	unprocessed_pseudogene	441317
44.76	111959	113419	HSCHR8_3_CTG1	protein_coding	414325
44.76	111959	113419	HSCHR8_3_CTG1	protein_coding	55894
39.29	104129888	104232364	10	protein_coding	80217
52.92	29662979	29670876	16	protein_coding	6693
40.25	183639635	183659203	4	protein_coding	201965
38.77	39796	68296	HSCHR8_3_CTG1	protein_coding	100132396
38.77	39796	68296	HSCHR8_3_CTG1	protein_coding	100131980
54.96	3623085	3628535	HSCHR6_MHC_COX_CTG1	protein_coding	5089
46.96	62236165	62319434	1	protein_coding	163782
40.41	178949	192414	HSCHR8_3_CTG1	protein_coding	503614
40.41	178949	192414	HSCHR8_3_CTG1	protein_coding	245910
44.76	125758	146784	HSCHR8_3_CTG1	protein_coding	653423
44.76	125758	146784	HSCHR8_3_CTG1	protein_coding	10407
46.93	2246539	2271967	HSCHR6_MHC_COX_CTG1	lncRNA	105375013
55.10	2167791	2171164	HSCHR6_MHC_COX_CTG1	protein_coding	11270
36.20	165611	169505	HSCHR8_3_CTG1	protein_coding	503841
36.20	165611	169505	HSCHR8_3_CTG1	protein_coding	245909
46.77	48029383	48044079	19	protein_coding	56344
43.22	9695	39621	HSCHR8_3_CTG1	lncRNA	100132103
42.79	4256335	4291786	HSCHR6_MHC_COX_CTG1	protein_coding	5698
38.48	117907264	118317676	6	protein_coding	222553
41.89	136946230	137011085	3	protein_coding	53833
50.88	2182808	2192924	HSCHR6_MHC_COX_CTG1	lncRNA	106478956
52.86	3142527	3150837	HSCHR6_MHC_COX_CTG1	protein_coding	1460
54.91	29973868	29992261	16	protein_coding	9344
40.87	15893	24832	HSCHR6_MHC_COX_CTG1	protein_coding	2880
50.03	654	5624	HSCHR6_MHC_COX_CTG1	protein_coding	257202
40.78	56538948	56556808	19	protein_coding	140612
50.00	1068729	1068812	HSCHR6_MHC_COX_CTG1	snoRNA	692092
44.74	3013707	3013782	HSCHR6_MHC_COX_CTG1	snoRNA	692233
47.44	3018431	3018508	HSCHR6_MHC_COX_CTG1	snoRNA	692199
44.70	3100364	3100495	HSCHR6_MHC_COX_CTG1	snoRNA	677820
57.14	3312510	3312572	HSCHR6_MHC_COX_CTG1	snoRNA	26801
43.28	3314321	3314387	HSCHR6_MHC_COX_CTG1	snoRNA	26797
51.88	2624870	2640641	HSCHR6_MHC_COX_CTG1	protein_coding	54535
62.24	1390314	1390411	6	miRNA	102466720
57.78	5148233	5148322	6	miRNA	100500900
52.29	24143362	24147570	14	protein_coding	5721
51.28	10439717	10439794	6	miRNA	100846998
46.38	16141556	16141624	6	miRNA	100616269
36.08	18571784	18571880	6	miRNA	693125
49.00	149730298	149855022	5	protein_coding	133522
41.19	101271219	101308701	2	protein_coding	284996
55.19	76491629	76493920	18	lncRNA	101927989
51.66	2640970	2646639	HSCHR6_MHC_COX_CTG1	protein_coding	6941
51.36	2646761	2653135	HSCHR6_MHC_COX_CTG1	protein_coding	5460
45.45	36622436	36622512	6	miRNA	100500885
49.78	2680204	2686408	HSCHR6_MHC_COX_CTG1	lncRNA	253018
44.32	21825698	21825785	18	miRNA	406922
38.71	147617386	147672044	4	protein_coding	55751
34.12	21829004	21829088	18	miRNA	406905
38.43	112561709	112585579	3	protein_coding	55032
59.28	2749675	2753056	HSCHR6_MHC_COX_CTG1	protein_coding	3107
58.23	53276993	53277071	6	miRNA	100847075
38.64	21704957	21870953	18	protein_coding	57534
33.33	57390132	57390212	6	miRNA	100422884
31.96	36102	42706	HSCHR4_9_CTG12	protein_coding	6779
32.32	68591	76674	HSCHR4_9_CTG12	protein_coding	3347
39.48	62436297	62451804	1	protein_coding	7398
38.46	91521660	91521737	6	miRNA	100616174
28.41	99124609	99124696	6	miRNA	100616347
50.10	2880151	2896610	HSCHR6_MHC_COX_CTG1	protein_coding	100507436
67.31	136658856	136672678	9	protein_coding	51162
32.73	90574	98984	HSCHR4_9_CTG12	protein_coding	3346
47.79	116671192	116850251	10	protein_coding	259217
52.19	35487324	35495558	19	protein_coding	388533
33.35	178202	221385	HSCHR4_9_CTG12	protein_coding	401137
40.66	98024531	98024621	6	miRNA	100302164
35.87	90312742	90312833	6	miRNA	100616109
43.11	2750417	2837604	HSCHR6_MHC_COX_CTG1	protein_coding	3106
32.82	107525	125406	HSCHR4_9_CTG12	lncRNA	286828
38.47	87125198	87196629	2	unprocessed_pseudogene	102724642
36.22	54968727	55173632	17	protein_coding	252983
36.86	188777672	188818522	4	lncRNA	101930028
48.40	2535827	2542268	HSCHR6_MHC_COX_CTG1	lncRNA	285834
50.49	1739364	1746646	HSCHR6_MHC_COX_CTG1	lncRNA	3139
44.58	126484631	126484713	6	miRNA	693173
36.34	155442650	155448610	4	lncRNA	105377503
45.92	1275135	1281358	HSCHR6_MHC_COX_CTG1	lncRNA	352962
35.44	120015179	120015257	6	miRNA	100422951
46.16	4524287	4540543	HSCHR6_MHC_COX_CTG1	transcribed_unprocessed_pseudogene	3116
36.99	132815307	132815379	6	snoRNA	594837
37.89	134979338	134979432	6	miRNA	100500880
37.14	141636583	141733987	4	protein_coding	3600
31.71	138435213	138435294	6	miRNA	100423001
50.00	132816802	132816877	6	snoRNA	594838
37.11	119069047	119069143	6	miRNA	693128
40.77	132817219	132817348	6	snoRNA	594839
44.15	121987323	122022247	3	protein_coding	286676
40.74	3998045	4028652	HSCHR6_MHC_COX_CTG1	protein_coding	3123
40.66	124633113	124695707	11	protein_coding	54414
66.27	155946797	155946879	6	miRNA	100302259
59.52	170330761	170330844	6	miRNA	100616430
33.33	156378750	156378824	6	snoRNA	109617011
40.18	100157906	100259278	8	protein_coding	6674
51.65	8695856	8707699	18	lncRNA	100287082
45.47	8705556	8832778	18	protein_coding	23255
62.07	76023	78566	HSCHR8_4_CTG7	protein_coding	101928108
32.91	77915870	77918011	2	lncRNA	101927926
69.94	153499	156296	HSCHR8_4_CTG7	protein_coding	4062
43.01	89894469	89921760	6	protein_coding	84694
51.14	29497	50230	HSCHR8_4_CTG7	lncRNA	286122
40.17	56567468	56588911	19	protein_coding	388566
63.58	8270	14120	HSCHR8_4_CTG7	protein_coding	4061
42.57	89829894	89874436	6	protein_coding	9994
36.39	75652000	75710985	2	protein_coding	6936
46.13	57769655	57819939	19	protein_coding	54807
57.09	29992330	29996074	16	protein_coding	8479
40.29	5840695	5840833	18	miRNA	100616244
44.76	5882072	5895955	18	protein_coding	645369
47.83	73631612	73641474	10	protein_coding	58529
68.04	33666943	33668525	20	protein_coding	170487
42.26	59220158	59230774	18	protein_coding	2922
49.84	41136960	41196801	20	protein_coding	5335
39.47	44228729	44305046	19	protein_coding	9310
48.84	138434586	138481686	3	protein_coding	83850
39.61	77282019	77559966	1	protein_coding	26289
50.61	73644881	73663803	10	protein_coding	79933
40.96	122838500	122872643	11	protein_coding	56253
62.14	43247	53102	HSCHR8_3_CTG7	protein_coding	79792
35.27	145793502	145814795	6	protein_coding	84085
46.16	62701314	62808344	17	protein_coding	162333
52.94	136670602	136670686	9	miRNA	406913
63.18	136712572	136724742	9	protein_coding	138311
55.88	59267035	59274086	18	protein_coding	30062
38.14	79611117	79666158	8	protein_coding	11075
37.60	133952170	133990432	6	protein_coding	9519
41.68	73674295	73730466	10	lncRNA	113939925
55.15	136726104	136726239	9	snoRNA	677824
61.27	26297	31493	HSCHR8_3_CTG7	protein_coding	23144
41.14	73699151	73730487	10	lncRNA	729096
52.63	136726747	136726879	9	snoRNA	677804
41.55	59275156	59318649	18	protein_coding	339302
60.74	93953	99813	HSCHR8_3_CTG7	protein_coding	65263
63.24	136738167	136743356	9	protein_coding	414332
43.15	43166256	43186536	19	protein_coding	5673
45.80	142859604	142868922	5	lncRNA	100874239
57.00	29995715	30005793	16	protein_coding	283899
47.03	73744372	73772161	10	protein_coding	9632
47.65	133889113	133895553	6	protein_coding	6943
60.76	69737	87784	HSCHR8_3_CTG7	protein_coding	1936
33.03	135866983	135913680	4	lncRNA	100507528
39.13	142108779	142154440	5	protein_coding	80762
42.26	52896639	52909698	6	protein_coding	2940
59.74	24143489	24143565	14	miRNA	102465801
36.90	59327823	59359265	18	protein_coding	3998
49.25	123057489	123063230	11	protein_coding	3312
38.79	77979542	78138444	1	protein_coding	54810
41.56	38556765	38671216	5	lncRNA	100506495
38.41	163343892	163351934	4	protein_coding	4889
58.10	24180219	24188869	14	protein_coding	79711
38.81	68428822	68449954	1	protein_coding	6121
40.89	52977948	52995304	6	protein_coding	2941
47.52	58183029	58213562	19	protein_coding	10782
40.10	158893134	159038760	4	protein_coding	152940
38.39	122628952	122730685	5	lncRNA	101927379
65.08	193306	199505	HSCHR8_3_CTG7	protein_coding	225689
29.49	62597520	62606313	1	protein_coding	27329
38.28	183233628	183240634	4	lncRNA	101928734
64.94	200980	210848	HSCHR8_3_CTG7	protein_coding	286077
35.49	177728757	178028971	4	lncRNA	285501
64.83	136744017	136748525	9	protein_coding	158062
50.06	50767501	50783667	22	protein_coding	11159
50.06	50767501	50783667	22	protein_coding	11158
48.94	11769639	11787345	8	protein_coding	252969
65.11	102658	108088	HSCHR8_3_CTG7	protein_coding	7264
38.93	136336236	136752403	3	protein_coding	10274
35.24	128083766	128189677	5	protein_coding	6558
37.61	181064089	181159149	4	lncRNA	728081
67.89	64825	68689	HSCHR8_3_CTG7	protein_coding	93100
53.75	130718	131530	HSCHR5_2_CTG5	protein_coding	5626
41.15	45252234	45277846	15	protein_coding	9153
71.89	183741	185156	HSCHR8_3_CTG7	protein_coding	100130274
35.70	165873237	166104457	4	protein_coding	7092
56.38	161499	190945	HSCHR8_3_CTG7	protein_coding	101928160
56.38	161499	190945	HSCHR8_3_CTG7	protein_coding	286075
58.23	52995621	52995948	6	snRNA	125050
52.07	15250	21823	HSCHR8_1_CTG1	lncRNA	286083
42.42	53126961	53148841	6	protein_coding	8521
40.30	55751051	55842830	17	protein_coding	58488
41.74	271041	271270	HSCHR8_1_CTG1	lncRNA	100507435
49.21	206898	271426	HSCHR8_1_CTG1	protein_coding	9228
42.80	59430939	59697662	18	protein_coding	147372
40.01	65248219	65415871	1	protein_coding	9829
60.21	211187	223384	HSCHR8_3_CTG7	lncRNA	642574
75.64	136746893	136746970	9	miRNA	102465431
61.19	136759634	136766255	9	protein_coding	389812
64.53	87875	93264	HSCHR8_3_CTG7	protein_coding	84948
47.96	111843	131885	HSCHR8_3_CTG7	protein_coding	9831
67.13	56227	63011	HSCHR8_3_CTG7	protein_coding	642475
43.95	27957241	27958182	6	protein_coding	26212
52.38	158609707	158609790	6	miRNA	102465694
54.72	166997807	166997912	6	miRNA	100500857
62.50	267967	292426	HSCHR8_3_CTG7	protein_coding	23513
62.16	136791344	136793317	9	protein_coding	85014
46.59	228365	348679	HSCHR8_8_CTG1	protein_coding	9172
49.13	167271169	167316014	6	protein_coding	54346
43.44	45687025	45752520	18	protein_coding	6563
37.44	19468997	19520095	2	lncRNA	105373460
54.80	154773	159854	HSCHR8_8_CTG1	lncRNA	104266957
40.01	727670	791038	HSCHR8_8_CTG1	lncRNA	101927815
39.80	74234700	74321540	8	protein_coding	56704
65.14	155946	158013	HSCHR8_8_CTG1	lncRNA	101928058
50.18	157254	190312	HSCHR8_8_CTG1	protein_coding	9920
38.12	66904436	66971462	2	lncRNA	101060019
59.17	136796338	136807741	9	protein_coding	84960
39.77	834145	896517	HSCHR8_8_CTG1	lncRNA	101927815
47.53	73772276	73780251	10	protein_coding	170384
50.00	7352	142017	HSCHR8_8_CTG1	protein_coding	9639
38.37	84516455	84819589	2	protein_coding	1768
42.62	65147549	65232145	1	protein_coding	205
45.52	73782047	73783652	10	protein_coding	118487
40.25	45361124	45402327	15	protein_coding	2628
54.43	73785606	73801797	10	protein_coding	23053
40.00	74548543	74548617	8	miRNA	100847058
45.00	74548550	74548609	8	miRNA	100847091
43.63	167325071	167359503	6	protein_coding	83887
37.41	74599775	74823313	8	lncRNA	441355
37.41	71097774	71202203	17	lncRNA	101928165
47.23	29811991	29824312	19	protein_coding	898
55.15	30005514	30023270	16	protein_coding	8448
49.42	77460924	77463491	6	protein_coding	3351
53.61	5085341	5089487	6	protein_coding	648791
54.55	127081	130957	HSCHR5_3_CTG5	protein_coding	5626
32.73	74705693	74705747	8	miRNA	100302260
40.18	55719627	55732121	17	protein_coding	55273
47.51	19242	106178	HSCHR8_4_CTG1	lncRNA	9228
40.78	65420587	65436007	1	protein_coding	54741
56.65	20139	21965	HSCHR8_4_CTG1	lncRNA	401442
41.72	24804282	25042170	6	protein_coding	9750
55.83	12731	19697	HSCHR8_4_CTG1	protein_coding	157697
37.77	17864380	17910365	8	protein_coding	2267
64.67	136803927	136808848	9	lncRNA	100131193
52.52	48958554	48968596	17	protein_coding	2695
57.06	136807943	136841187	9	protein_coding	55684
40.03	64470129	64693058	1	protein_coding	57685
48.38	50081124	50153637	20	protein_coding	387522
33.75	155342658	155376970	4	protein_coding	79884
50.23	19112420	19112636	17	snoRNA	780854
36.82	134986508	135147963	7	protein_coding	340351
71.26	27293910	27293996	17	miRNA	100616277
35.03	494374	588925	HSCHR8_9_CTG1	protein_coding	2515
43.48	40161933	40162001	17	miRNA	102466986
56.72	40193597	40193663	17	miRNA	102465523
49.04	40027542	40027645	17	snoRNA	101340251
55.13	40026332	40026409	17	miRNA	102466757
67.16	39726495	39726561	17	miRNA	100616132
52.13	30117079	30117172	17	miRNA	494335
62.50	42823880	42823943	17	miRNA	102465468
50.67	30117086	30117160	17	miRNA	100423003
62.35	48156427	48156511	17	miRNA	100302211
47.18	43192702	43207299	19	protein_coding	5672
33.58	7546	10827	HSCHR8_9_CTG1	protein_coding	8754
63.24	48724408	48724475	17	miRNA	100422978
37.70	12673	190626	HSCHR8_9_CTG1	protein_coding	203102
46.91	50768650	50768730	17	miRNA	102466918
39.45	49288346	49288454	17	miRNA	102465137
69.70	64780759	64780824	17	miRNA	102464831
56.16	64822030	64822102	17	miRNA	100422961
52.37	50118254	50153734	20	protein_coding	387521
52.58	66787072	66787168	17	miRNA	693219
41.01	19469	152750	HSCHR9_1_CTG3	protein_coding	256691
48.21	42950526	42964498	17	protein_coding	80755
34.43	335123	480684	HSCHR8_9_CTG1	protein_coding	8749
41.26	20032650	20051628	2	protein_coding	9741
41.46	45402336	45421415	15	protein_coding	79029
35.15	63523372	63572693	1	protein_coding	84455
70.15	136830957	136831023	9	miRNA	100422860
45.04	175319	232145	HSCHR8_5_CTG1	lncRNA	100507435
66.23	136848724	136851027	9	protein_coding	29085
47.18	112163	317741	HSCHR8_5_CTG1	protein_coding	9228
41.45	145938	155826	HSCHR5_6_CTG1	protein_coding	51151
51.54	50171809	50176676	20	lncRNA	101927541
63.88	137708	139559	HSCHR5_6_CTG1	protein_coding	51289
40.59	41479	93514	HSCHR5_6_CTG1	protein_coding	81792
40.73	18055992	18084998	8	protein_coding	427
37.86	116287380	116508541	7	protein_coding	858
38.75	45433050	45433129	15	miRNA	100126311
66.23	50190830	50192668	20	protein_coding	1051
43.56	50510321	50585241	20	protein_coding	5770
39.20	66433452	66573869	2	protein_coding	4211
39.85	45479606	45522755	15	protein_coding	7782
40.38	84925583	84997113	1	protein_coding	255231
41.24	172209646	172283764	5	protein_coding	92181
66.28	136850943	136860799	9	protein_coding	158056
41.41	45537250	45537377	15	snoRNA	109617005
39.59	45587214	45615945	15	protein_coding	26258
38.65	136734830	136763409	5	lncRNA	105379191
53.46	45825675	45844094	18	protein_coding	284266
44.88	141991749	142013041	5	protein_coding	10007
48.07	50861568	50880567	19	protein_coding	3817
42.77	129375848	129452279	11	protein_coding	8538
56.38	50585786	50585879	20	miRNA	693230
31.33	50614636	50614785	20	miRNA	100302146
50.83	50299876	50321486	20	lncRNA	101927586
54.10	37344685	37406050	20	protein_coding	6714
40.51	123490820	123585053	3	protein_coding	201562
48.08	42950526	42980528	17	protein_coding	100885850
38.78	170060222	170091699	4	protein_coding	51166
39.92	76867480	77067546	1	protein_coding	81849
39.37	71771655	71785206	3	protein_coding	60675
38.91	91311368	91515427	7	lncRNA	105375392
56.14	73796514	73801399	10	lncRNA	100507331
45.03	123069872	123195248	11	protein_coding	79827
42.75	45983536	46072272	18	protein_coding	9050
53.04	73801911	73811798	10	protein_coding	8509
37.18	108569867	108574850	7	protein_coding	4189
54.46	30075978	30085376	16	protein_coding	5531
35.44	62784132	62865516	1	protein_coding	84938
37.48	57227726	57278105	3	protein_coding	26060
