"peak","THL60-Rep1","THL60-Rep2","THL60-Rep3","T3h-Neu-Rep1","T3h-Neu-Rep2","T3h-Neu-Rep3","T6h-Neu-Rep1","T6h-Neu-Rep2","T6h-Neu-Rep3","T12h-Neu-Rep1","T12h-Neu-Rep2","T12h-Neu-Rep3"
"chr4_3073930_3074847",38,22,20,2,27,31,27,41,0,6,2,58
"chr4_3292254_3293084",31,22,12,1,20,32,12,28,2,8,1,42
"chr4_3372724_3373343",14,11,7,1,18,22,4,14,0,1,2,24
"chr4_3532161_3532919",16,13,6,4,19,18,10,15,0,4,2,34
"chr4_3955301_3956176",38,21,16,0,20,26,22,43,0,5,0,50
"chr4_4247873_4248617",23,21,14,0,20,27,10,26,0,7,1,27
"chr4_4289864_4290687",26,20,7,0,18,25,10,15,0,5,2,34
"chr4_4541740_4542394",36,19,13,0,18,31,9,25,0,2,1,32
"chr4_4704152_4704651",6,5,5,0,5,9,2,6,0,1,0,8
"chr4_6640268_6640946",25,15,16,0,19,33,11,20,2,4,1,31
"chr4_6673610_6674521",31,38,11,1,23,37,9,28,0,8,0,48
"chr4_6682898_6683678",18,7,5,1,11,29,3,13,0,3,1,16
"chr4_6688882_6689464",12,8,7,0,16,17,4,12,0,1,1,16
"chr4_6695935_6696640",12,11,6,3,15,18,4,7,2,3,2,17
"chr4_6709362_6710176",20,11,7,1,13,27,7,21,1,4,1,23
"chr4_6715822_6716642",50,30,19,0,18,31,22,26,1,4,2,63
"chr4_6782361_6782869",8,14,6,0,8,17,6,8,0,2,0,17
"chr4_6782914_6783824",22,20,12,2,17,27,9,19,1,4,0,34
"chr4_6875383_6876021",20,16,14,2,16,20,9,17,0,4,1,20
"chr4_6886096_6886693",11,14,10,1,12,19,3,10,0,2,2,19
"chr4_6891799_6892738",11,14,11,1,16,21,5,18,0,4,1,24
"chr4_6909149_6909912",26,25,11,1,16,40,20,28,0,10,1,31
"chr4_6917586_6918177",11,10,8,0,6,12,3,6,0,2,1,22
"chr4_6925386_6926008",14,11,7,2,7,14,4,10,1,2,1,16
"chr4_6986568_6987360",18,19,9,1,17,21,10,21,0,5,1,31
"chr4_7042306_7043404",73,53,27,1,38,55,34,81,0,15,7,95
"chr4_7059522_7060089",17,14,11,0,14,16,5,18,0,3,1,15
"chr4_7067607_7068534",68,48,21,2,41,58,33,68,1,15,3,102
"chr4_8158557_8159313",42,29,19,3,22,39,25,43,3,6,1,51
"chr4_8198741_8199494",51,42,30,2,26,62,19,46,1,8,5,75
"chr4_8221421_8222016",15,11,6,0,7,14,4,10,0,2,0,8
"chr4_8427613_8428895",23,22,9,1,17,38,14,32,0,7,2,41
"chr4_8440087_8441059",23,21,9,0,17,21,9,20,0,4,1,33
"chr4_10006143_10006720",23,13,6,2,8,11,4,8,2,1,1,19
"chr4_10018761_10019374",81,52,29,0,23,43,21,42,0,10,2,58
"chr4_10096220_10096492",8,5,4,1,8,9,1,9,1,1,0,7
"chr4_10100608_10101315",27,25,10,2,13,25,9,18,1,4,0,19
"chr4_10116415_10117190",53,58,28,3,27,44,28,56,0,11,2,66
"chr4_10180945_10181580",68,36,22,1,14,37,8,16,0,2,1,21
"chr4_10461153_10461940",30,18,11,3,15,26,9,14,0,3,0,25
"chr4_10640404_10640956",37,22,7,1,8,18,7,14,1,3,2,20
"chr4_10954675_10955287",43,19,11,0,13,30,17,25,0,2,2,22
"chr4_11099892_11100551",38,25,8,4,7,18,8,21,1,3,1,23
"chr4_11428599_11429538",34,16,11,2,13,26,9,10,1,4,1,21
"chr4_11439788_11440302",19,15,6,1,4,8,4,7,0,1,0,13
"chr4_11471566_11472182",18,6,4,1,3,7,1,3,1,0,0,8
"chr4_11480597_11481191",130,90,30,1,21,50,29,52,0,11,4,57
"chr4_11487825_11488336",13,7,5,0,4,7,1,5,0,0,0,8
"chr4_11805797_11806329",22,14,4,0,6,9,5,14,0,3,0,11
"chr4_11824473_11825036",32,9,5,0,3,10,5,13,1,2,1,10
"chr4_12110561_12111079",37,27,10,0,4,15,5,14,0,2,1,13
"chr4_12116117_12116631",23,19,8,1,6,11,7,9,0,2,0,16
"chr4_12118538_12119135",97,59,22,0,12,37,21,37,0,7,0,33
"chr4_12123576_12124181",34,22,6,0,8,16,9,14,0,3,1,18
"chr4_13414902_13415547",12,9,4,0,4,7,3,4,0,1,1,9
"chr4_13484158_13484947",107,77,44,1,26,55,32,55,1,11,3,61
"chr4_13528252_13528948",16,13,5,1,4,7,4,6,0,0,1,10
"chr4_13544840_13545352",34,20,9,1,5,12,6,15,2,3,1,21
"chr4_13548836_13549363",23,14,6,3,11,14,6,8,1,2,0,15
"chr4_13579900_13580528",38,20,8,0,9,16,13,16,0,4,3,18
"chr4_13627441_13628105",90,63,28,0,15,42,19,42,0,6,2,45
"chr4_13654028_13654919",53,21,8,1,12,21,13,22,0,5,2,28
"chr4_14008391_14008979",28,14,6,1,5,13,13,17,0,4,2,25
"chr4_14125244_14125873",72,54,12,0,7,20,16,25,0,8,1,27
"chr4_14529563_14530138",25,12,4,0,1,7,4,7,2,1,0,7
"chr4_14848188_14848690",9,9,3,1,4,2,3,4,0,1,1,7
"chr4_14856313_14856893",21,12,6,1,9,21,8,13,0,3,1,14
"chr4_14877200_14877808",75,47,15,0,9,35,21,29,0,7,2,40
"chr4_14906734_14907298",28,15,6,1,3,13,4,6,0,2,0,12
"chr4_14911506_14912071",10,7,7,1,3,2,1,5,0,1,0,7
"chr4_15001782_15003073",184,124,74,0,55,94,65,107,2,21,8,124
"chr4_15079060_15079705",18,13,6,0,5,14,2,8,0,3,1,8
"chr4_15400822_15401569",48,32,20,1,9,21,4,20,0,5,1,25
"chr4_15451011_15451531",16,14,4,0,7,14,4,9,0,3,0,13
"chr4_15457262_15457997",20,12,9,1,9,17,5,15,0,2,1,17
"chr4_15649859_15650403",8,7,5,0,5,11,3,6,0,2,0,9
"chr4_15654847_15655814",41,44,17,0,19,33,16,29,1,7,1,40
"chr4_15659657_15660200",15,10,7,0,9,18,6,13,1,3,0,17
"chr4_15665699_15666215",10,8,4,0,2,8,2,4,0,1,0,7
"chr4_15681307_15681934",92,60,26,0,29,50,26,61,1,12,3,60
"chr4_15702829_15703380",29,21,15,0,9,12,7,10,0,3,1,18
"chr4_15756177_15756940",83,53,29,2,26,50,26,40,0,6,3,52
"chr4_15778566_15779381",36,23,10,1,17,31,6,18,0,6,1,28
"chr4_15832601_15833168",23,12,6,0,7,13,6,11,0,1,1,12
"chr4_15945362_15945928",33,18,9,0,13,17,6,14,0,3,0,18
"chr4_15963081_15963596",14,5,4,1,12,17,2,10,0,1,2,12
"chr4_16001287_16001956",25,16,10,1,15,29,7,19,1,4,1,29
"chr4_16122112_16123183",55,36,18,2,16,32,12,20,2,6,0,27
"chr4_16226847_16227480",21,13,9,0,10,11,5,8,1,1,0,16
"chr4_16237648_16238242",40,26,13,1,14,25,8,22,1,4,0,21
"chr4_16270006_16271115",66,42,13,2,19,33,9,24,2,5,1,25
"chr4_17142266_17142924",37,21,5,2,8,21,9,17,1,4,1,21
"chr4_17447629_17448247",14,9,7,2,8,13,5,10,0,2,0,14
"chr4_17476746_17477439",35,24,9,1,6,14,7,9,1,4,1,16
"chr4_17511521_17512498",60,47,15,0,16,26,14,23,1,5,0,35
"chr4_17549051_17549618",15,14,5,0,9,13,6,10,0,3,0,10
"chr4_17576894_17577589",195,126,64,0,36,79,62,112,0,21,6,134
"chr4_17614102_17614792",45,29,15,2,10,22,13,24,1,8,0,34
"chr4_17664687_17665333",28,18,9,0,6,17,7,14,0,3,1,21
"chr4_17810481_17811120",171,103,55,0,33,83,64,91,0,19,7,96
"chr4_18021468_18022462",261,164,78,4,47,119,69,125,1,27,4,149
"chr4_18075756_18076296",18,9,7,0,5,9,7,10,0,3,1,13
"chr4_18185450_18185965",34,12,8,0,4,11,5,9,2,0,1,12
"chr4_19729812_19730603",33,19,7,1,5,19,13,17,0,5,2,25
"chr4_19971404_19971961",12,7,5,1,5,9,2,6,0,3,0,4
"chr4_19992667_19993690",65,39,8,0,5,12,6,10,0,1,0,13
"chr4_20251543_20252396",81,57,24,0,9,25,22,27,0,9,3,36
"chr4_20313520_20314034",20,9,3,0,6,12,3,11,0,3,0,16
"chr4_20359592_20360141",61,32,16,0,4,15,13,17,0,4,4,25
"chr4_20395102_20395626",16,12,3,0,3,6,4,10,2,2,1,6
"chr4_20418765_20419332",30,19,8,0,3,8,13,17,0,3,0,18
"chr4_20422370_20422870",22,9,4,0,5,8,9,9,0,4,0,13
"chr4_20625340_20625923",81,60,19,3,4,14,13,19,1,7,1,29
"chr4_20700049_20700691",196,116,46,2,17,41,45,74,0,16,3,88
"chr4_20773298_20773824",27,11,7,1,3,10,11,5,0,3,1,9
"chr4_22014205_22014766",25,13,5,1,5,2,6,11,0,3,0,7
"chr4_22129387_22129907",21,12,7,0,6,9,9,12,0,2,1,12
"chr4_22356927_22357674",55,29,8,0,10,27,14,30,0,7,1,26
"chr4_22515040_22515682",48,38,16,0,9,25,10,22,0,4,0,22
"chr4_22515787_22516317",17,13,7,0,5,14,2,6,0,1,1,10
"chr4_22597326_22597880",21,18,6,2,5,13,5,7,0,2,0,11
"chr4_22607249_22607868",55,31,12,1,11,23,20,32,1,5,2,29
"chr4_23198086_23198619",13,11,6,0,5,10,2,3,0,0,0,9
"chr4_23269506_23270123",20,11,5,0,2,9,2,3,0,0,0,5
"chr4_23302299_23302974",18,9,5,0,4,5,2,2,0,1,0,4
"chr4_23323860_23324720",25,22,7,0,4,13,8,9,0,4,0,12
"chr4_23333797_23334690",104,71,21,0,12,32,22,27,0,12,2,33
"chr4_23934391_23935335",28,13,10,2,10,11,5,6,0,2,0,14
"chr4_23945360_23945967",115,62,26,1,12,37,24,43,0,9,3,45
"chr4_24472722_24473438",33,20,10,4,7,19,6,16,1,4,1,16
"chr4_24557774_24558273",9,4,3,1,6,6,1,5,0,1,0,6
"chr4_24584089_24584940",84,60,27,0,24,49,25,55,0,12,2,56
"chr4_24657863_24658461",11,11,6,0,4,8,4,4,0,1,1,10
"chr4_24675615_24676151",23,14,9,3,7,11,4,8,0,2,0,15
"chr4_24752038_24752565",17,15,8,2,11,23,4,12,0,2,1,13
"chr4_24769915_24770508",18,9,5,1,6,11,2,8,1,2,0,9
"chr4_24973675_24974382",51,27,18,1,10,22,7,19,0,6,1,29
"chr4_24979383_24979983",32,22,6,1,9,19,8,10,0,4,2,27
"chr4_25088240_25088842",12,7,4,1,7,14,1,8,0,2,0,12
"chr4_25159889_25160882",112,72,36,0,34,70,29,56,0,16,4,86
"chr4_25163126_25163626",32,26,9,0,10,14,4,4,0,2,1,10
"chr4_25173516_25174049",7,6,3,2,3,7,2,2,0,1,0,7
"chr4_25233701_25234656",38,38,19,1,12,31,21,32,0,4,2,40
"chr4_25312285_25313002",65,33,21,1,17,33,18,31,1,8,2,42
"chr4_25320698_25321240",16,11,7,1,7,13,6,11,0,2,0,12
"chr4_25376984_25377542",39,24,18,2,12,21,14,24,1,2,1,30
"chr4_25433031_25433551",20,9,5,2,3,7,5,7,1,1,0,7
"chr4_25760428_25760971",13,9,4,1,3,8,5,7,0,2,1,8
"chr4_25783906_25784445",24,12,7,1,6,16,6,9,0,2,0,8
"chr4_25860779_25861370",11,6,6,1,7,11,4,6,0,4,0,11
"chr4_25913804_25914556",56,37,18,2,15,37,17,45,0,10,4,46
"chr4_25970132_25970709",21,17,8,2,9,18,4,12,0,4,1,15
"chr4_26076099_26076674",29,27,11,4,11,24,9,17,1,3,1,16
"chr4_26141870_26142413",13,10,7,2,5,14,5,8,1,2,0,11
"chr4_26197306_26197953",26,17,7,0,6,16,2,10,0,2,0,19
"chr4_26218027_26219250",17,16,7,1,14,22,8,10,0,2,0,19
"chr4_26272589_26274023",62,50,17,1,18,31,14,25,0,7,1,29
"chr4_26288107_26289025",51,38,16,0,14,25,7,16,0,3,1,22
"chr4_26302345_26302960",26,22,7,0,4,15,5,13,0,3,0,13
"chr4_26319028_26319911",92,60,36,0,35,78,31,81,0,15,5,80
"chr4_26320493_26320992",28,16,9,2,10,19,9,15,1,5,0,22
"chr4_26356110_26356655",10,7,4,0,3,7,2,4,0,1,0,7
"chr4_26372575_26373177",49,34,11,0,8,25,11,22,0,8,1,31
"chr4_26377850_26378400",7,8,6,1,4,8,3,7,0,1,0,4
"chr4_26583497_26584373",118,76,29,0,23,59,28,56,0,10,3,54
"chr4_26766039_26766643",37,23,8,1,9,17,9,18,0,7,1,22
"chr4_26780374_26780978",12,10,6,1,7,13,5,7,1,2,0,9
"chr4_26787587_26788142",15,10,5,2,9,13,5,10,0,2,1,10
"chr4_26822434_26822968",9,6,3,1,4,9,1,6,0,0,0,4
"chr4_26826676_26827185",24,15,6,0,7,10,6,9,0,0,0,13
"chr4_26857362_26858056",53,48,21,1,17,34,22,44,0,9,1,48
"chr4_26860345_26860974",122,82,42,0,25,46,36,68,0,14,3,86
"chr4_26885791_26886382",20,12,5,1,7,10,10,9,0,3,2,13
"chr4_27040343_27040872",30,24,6,0,6,8,9,11,0,0,0,12
"chr4_27066463_27067120",158,92,31,0,14,45,31,63,0,14,2,65
"chr4_27068548_27068780",29,12,7,1,5,7,8,8,0,1,0,9
"chr4_27082076_27083260",48,31,10,2,17,22,7,17,1,6,2,20
"chr4_27088272_27088905",35,22,5,0,8,20,18,21,0,6,1,23
"chr4_27684429_27684988",37,23,6,1,5,12,14,17,0,4,1,18
"chr4_27691997_27692761",33,16,7,1,7,15,11,19,0,3,1,17
"chr4_27966653_27967221",16,12,5,0,4,9,8,14,1,4,1,12
"chr4_28176913_28177433",27,14,4,0,4,5,2,6,0,2,0,7
"chr4_28557645_28558239",24,9,7,1,4,4,12,10,0,2,2,13
"chr4_28686468_28687066",36,16,7,0,6,14,9,12,0,4,3,22
"chr4_28979112_28979691",63,32,12,1,4,13,7,8,0,3,1,14
"chr4_29476568_29477182",85,36,9,1,5,11,14,21,0,7,2,23
"chr4_30380298_30380870",50,24,11,0,6,12,22,23,0,4,1,29
"chr4_30396753_30397275",20,12,3,0,1,5,6,4,0,2,1,8
"chr4_30717154_30717926",65,28,13,0,4,9,14,22,0,7,1,20
"chr4_31370762_31371299",38,12,5,0,3,6,12,13,0,3,2,12
"chr4_31737310_31737899",94,51,20,1,11,17,19,29,0,8,1,26
"chr4_31984765_31985343",101,57,20,1,8,37,22,32,0,6,0,26
"chr4_32032136_32032744",43,24,12,0,5,19,7,10,0,2,1,13
"chr4_32140576_32141141",33,15,7,1,2,15,3,9,0,0,0,9
"chr4_32163010_32163556",35,28,6,2,4,8,4,9,0,2,0,12
"chr4_32569793_32570366",58,34,12,0,6,16,19,25,0,4,2,24
"chr4_32774921_32775510",30,14,7,0,4,10,13,14,0,4,0,15
"chr4_33060792_33061366",41,21,6,2,8,9,16,13,1,4,0,20
"chr4_33089733_33090241",12,6,4,1,2,6,5,7,0,1,1,7
"chr4_33184634_33185249",87,37,13,0,6,21,14,30,0,8,2,30
"chr4_33298231_33298981",93,49,16,1,4,17,10,25,0,7,2,29
"chr4_33300680_33301196",38,32,9,0,4,10,3,5,0,0,0,6
"chr4_33302173_33302734",53,31,11,1,4,16,11,10,0,4,0,14
"chr4_33411104_33411661",57,33,9,0,2,10,19,24,0,4,2,27
"chr4_33512352_33512934",33,13,8,0,1,11,8,14,0,5,1,16
"chr4_33543938_33544498",18,7,4,0,0,4,1,5,0,1,0,8
"chr4_33766187_33766693",33,17,8,0,3,9,5,4,0,1,0,8
"chr4_34434268_34434800",88,56,23,0,8,17,19,23,0,6,1,22
"chr4_34961617_34962606",19,8,5,1,7,12,4,7,0,1,1,15
"chr4_35342764_35343332",35,22,7,0,3,9,9,16,0,2,0,11
"chr4_35358212_35358793",17,8,5,0,3,5,1,4,0,1,0,8
"chr4_35725195_35725694",9,5,3,0,4,7,5,6,0,2,0,6
"chr4_35912092_35912703",14,9,5,0,5,5,4,5,0,1,0,11
"chr4_36059425_36059956",13,18,6,0,5,6,4,2,0,1,1,12
"chr4_36115265_36115830",22,10,5,0,3,5,2,5,0,0,0,9
"chr4_36123525_36124280",35,19,6,0,2,11,4,5,0,3,1,13
"chr4_36243566_36244875",50,49,19,1,13,31,16,23,1,7,1,30
"chr4_36255539_36256165",42,33,9,1,3,16,9,12,0,2,1,12
"chr4_36286056_36286661",34,19,6,1,7,17,9,13,1,4,0,16
"chr4_36303302_36303940",38,19,6,1,4,21,6,16,0,5,1,23
"chr4_36310627_36311283",123,68,21,0,5,25,7,27,0,4,2,33
"chr4_36325471_36325970",9,10,4,2,4,9,4,5,0,3,0,11
"chr4_36327990_36328596",26,23,4,1,4,10,7,14,0,4,1,11
"chr4_36337681_36338237",32,15,8,1,6,7,4,5,0,0,0,8
"chr4_36348274_36349012",46,23,8,1,6,7,2,7,1,1,0,9
"chr4_36385790_36386384",63,36,14,0,13,18,16,18,0,6,2,27
"chr4_37092982_37093506",23,10,6,0,8,8,8,13,0,1,1,15
"chr4_37244699_37245378",29,16,6,2,7,21,3,12,0,3,1,17
"chr4_37367818_37368347",11,7,4,1,4,8,2,4,0,2,0,4
"chr4_37388629_37389154",47,25,9,0,8,15,9,14,0,3,0,13
"chr4_37393442_37394412",35,28,8,1,8,15,8,10,1,1,0,19
"chr4_37452813_37453896",48,32,12,3,8,22,8,21,1,3,0,21
"chr4_37471820_37472444",40,23,7,0,10,24,10,18,0,2,1,25
"chr4_37528126_37528721",22,17,9,1,7,11,7,13,1,4,2,13
"chr4_37601148_37601969",42,37,12,1,11,22,6,16,0,2,0,19
"chr4_37686287_37687059",246,140,79,1,48,124,83,145,0,32,9,160
"chr4_37748445_37749022",22,19,5,0,5,11,2,7,0,3,0,15
"chr4_37754241_37754998",41,25,15,0,6,31,10,17,0,5,1,28
"chr4_37758032_37758660",41,30,11,1,11,23,7,19,0,4,1,29
"chr4_37760714_37761447",32,25,11,0,7,19,1,9,0,1,0,14
"chr4_37767283_37767899",16,6,6,1,7,11,6,9,0,1,1,11
"chr4_37826203_37827012",60,45,23,0,25,43,18,38,0,6,0,46
"chr4_37864583_37865246",30,18,5,1,8,16,4,8,1,2,1,11
"chr4_37865649_37866449",25,18,6,0,7,11,3,11,1,4,0,13
"chr4_37879289_37879790",14,13,4,0,4,9,4,5,0,2,1,8
"chr4_37892609_37893112",7,11,4,1,8,11,2,5,0,1,1,10
"chr4_37936776_37937396",16,8,5,6,6,16,3,7,2,3,2,13
"chr4_37946361_37946907",17,8,5,0,8,10,4,9,1,4,0,11
"chr4_37976779_37978223",46,36,12,2,16,27,17,27,2,3,1,44
"chr4_37989561_37990284",32,29,6,0,9,16,7,8,2,4,1,15
"chr4_38068977_38069621",13,8,6,0,9,15,5,9,1,1,0,12
"chr4_38071807_38072404",21,16,10,1,9,14,5,13,0,4,0,17
"chr4_38075331_38075895",28,20,13,2,9,20,8,9,0,4,1,13
"chr4_38166012_38166581",26,21,10,1,15,19,6,13,1,2,0,18
"chr4_38177537_38178082",9,9,5,0,8,10,4,7,0,1,0,9
"chr4_38318774_38319371",30,21,11,1,13,19,7,14,0,6,2,29
"chr4_38319697_38320371",16,13,5,0,14,23,6,14,0,5,0,17
"chr4_38523554_38524481",20,14,8,2,9,19,7,10,0,2,0,14
"chr4_38529014_38530077",45,28,12,1,17,31,9,20,0,4,0,29
"chr4_38620979_38621501",16,12,5,0,8,21,6,7,0,2,3,11
"chr4_38667014_38667661",38,26,12,0,16,22,9,20,0,4,2,25
"chr4_38761423_38761957",28,22,13,0,9,17,9,13,0,2,2,26
"chr4_38785939_38786450",19,15,7,0,10,14,4,9,0,2,1,14
"chr4_38805390_38806025",13,10,7,1,7,14,7,12,0,3,0,17
"chr4_39044250_39045186",15,8,6,1,4,10,7,14,0,1,0,18
"chr4_39182095_39182684",111,86,42,0,40,86,42,84,0,17,8,110
"chr4_39353720_39354303",9,12,5,0,6,12,1,4,1,1,1,8
"chr4_39365908_39366683",16,9,9,2,9,19,4,9,0,2,0,17
"chr4_39458688_39459312",60,43,26,2,29,50,24,47,0,12,2,57
"chr4_39469250_39469913",9,8,5,0,10,17,5,8,0,1,2,14
"chr4_39480721_39481424",17,10,6,0,10,17,6,9,0,4,1,12
"chr4_39527157_39528124",85,64,37,0,26,56,26,49,0,15,5,89
"chr4_39638555_39639340",71,46,33,0,37,47,35,68,0,15,2,85
"chr4_39697800_39698353",19,17,14,0,9,23,9,25,0,2,2,27
"chr4_39977384_39978335",21,23,13,1,29,39,15,25,2,3,1,35
"chr4_40003867_40004402",16,12,7,0,7,12,7,8,0,2,1,16
"chr4_40056379_40057516",21,20,12,2,19,28,8,20,0,3,2,32
"chr4_40057712_40058225",11,12,8,4,8,14,7,10,1,3,1,19
"chr4_40205359_40205943",19,13,8,0,10,15,5,10,0,3,1,16
"chr4_40242314_40243291",15,20,9,0,14,14,4,9,1,2,0,17
"chr4_40307546_40308513",17,17,11,3,13,22,6,14,0,3,1,12
"chr4_40327207_40327813",28,16,7,2,14,23,6,15,1,3,1,24
"chr4_40576959_40577516",37,32,18,0,17,31,13,21,0,4,2,34
"chr4_40621618_40622169",21,13,9,0,8,24,6,12,0,3,1,21
"chr4_40672900_40673413",28,23,9,0,9,21,10,14,0,3,2,23
"chr4_40731468_40732441",31,22,7,0,9,23,6,18,0,3,1,20
"chr4_40811787_40812313",8,8,3,0,4,10,4,4,0,0,0,8
"chr4_40856645_40857493",16,10,8,0,8,13,7,7,0,3,0,17
"chr4_40908542_40909099",14,9,7,2,14,18,4,11,0,4,1,20
"chr4_40924250_40924888",8,6,4,0,5,10,5,5,0,1,1,7
"chr4_41214156_41214862",36,19,11,1,8,28,11,18,1,3,0,29
"chr4_41216252_41216761",11,8,4,6,6,9,2,6,4,1,1,12
"chr4_41933924_41934525",33,22,8,2,6,22,10,18,0,6,1,26
"chr4_41934821_41935584",63,36,22,0,11,39,20,32,0,12,2,36
"chr4_41990196_41990809",85,65,26,0,24,57,24,44,1,10,4,53
"chr4_42397199_42398494",58,37,20,2,17,35,12,27,1,5,3,36
"chr4_42632601_42633100",9,6,4,0,3,3,2,6,1,1,1,5
"chr4_42656830_42657821",220,148,68,2,28,67,50,93,1,15,5,98
"chr4_43131928_43132489",23,15,4,1,4,8,8,8,0,3,0,11
"chr4_43193334_43194045",27,21,6,0,3,4,5,7,1,0,1,7
"chr4_43224299_43224987",82,39,14,0,4,12,11,18,0,2,0,16
"chr4_44448360_44449341",169,102,51,1,14,39,40,67,4,15,4,68
"chr4_44629207_44629735",27,13,7,0,3,5,9,11,0,5,0,15
"chr4_44662561_44663284",39,25,8,1,5,14,10,11,0,3,1,15
"chr4_44678082_44678765",192,121,52,0,18,43,35,71,0,15,2,69
"chr4_44725909_44726920",134,62,28,0,12,27,17,33,0,12,2,42
"chr4_46073719_46074357",27,18,4,0,3,6,4,4,1,2,0,9
"chr4_46270868_46271429",62,37,7,0,6,11,21,33,1,7,0,26
"chr4_46329021_46329630",22,14,7,1,4,14,8,11,1,1,0,15
"chr4_46648062_46648671",35,15,9,1,5,14,12,14,0,4,1,22
"chr4_46993244_46993814",19,10,4,1,7,17,4,6,0,3,0,15
"chr4_47032296_47033084",41,29,15,0,8,18,9,15,1,4,1,24
"chr4_47051963_47052475",16,12,3,0,4,8,3,4,0,0,0,8
"chr4_47122578_47123193",23,17,11,2,11,19,10,14,0,4,0,25
"chr4_47173781_47174467",52,38,7,0,12,27,10,22,0,6,1,27
"chr4_47287642_47288218",27,14,6,0,7,15,6,14,0,2,0,22
"chr4_47367719_47368692",90,64,31,2,11,39,16,27,0,2,1,20
"chr4_47442944_47443447",28,25,8,0,7,18,6,10,0,1,1,17
"chr4_47463171_47464055",94,60,29,1,22,49,24,54,0,10,4,70
"chr4_47485023_47485585",56,31,21,0,13,32,16,27,0,7,2,36
"chr4_47531569_47532168",47,37,13,0,14,25,16,32,0,6,2,44
"chr4_47565122_47565723",33,23,5,1,5,20,6,13,1,2,2,12
"chr4_47675741_47676242",9,8,3,1,10,11,1,4,0,2,1,7
"chr4_47704657_47705162",11,8,3,0,4,5,2,5,0,2,0,11
"chr4_47741168_47741679",25,23,13,0,5,19,8,7,0,3,0,14
"chr4_47836528_47837656",47,33,17,2,16,34,8,29,1,6,1,36
"chr4_47914158_47915019",94,58,25,1,23,48,32,58,0,19,3,71
"chr4_48016253_48016959",26,24,9,0,13,17,6,11,0,4,2,27
"chr4_48036617_48037117",12,5,4,1,4,2,4,4,0,2,0,5
"chr4_48047264_48048224",30,22,8,0,13,25,9,26,0,5,0,34
"chr4_48067353_48067914",11,8,4,1,4,9,1,6,0,2,0,9
"chr4_48127744_48128361",21,13,8,0,7,14,5,11,2,0,1,21
"chr4_48212128_48212706",45,30,12,0,7,20,6,8,1,4,1,15
"chr4_48269440_48270430",89,59,30,2,22,45,19,41,0,5,3,70
"chr4_48340925_48341760",127,76,46,1,40,66,38,101,1,15,2,95
"chr4_48780137_48780765",144,107,44,0,38,85,56,85,0,14,6,99
"chr4_48830644_48831308",95,56,26,1,22,51,29,46,1,10,2,67
"chr4_48899069_48900136",21,15,5,3,7,13,4,7,0,2,1,17
"chr4_48906467_48907112",33,23,10,3,6,23,6,19,1,7,2,18
"chr4_49107200_49107699",13,9,8,39,35,46,8,18,16,10,4,63
"chr4_49118784_49118961",3,2,2,3,14,24,5,8,0,3,0,17
"chr4_49120010_49120528",7,3,6,13,18,29,5,9,4,5,3,33
"chr4_49120701_49121291",13,11,7,11,41,51,11,25,8,10,4,72
"chr4_49149516_49150023",29,25,18,10,117,167,29,70,5,23,10,182
"chr4_51831035_51831554",6,8,5,0,4,12,2,5,0,5,0,7
"chr4_51842668_51843393",349,243,96,0,37,102,98,199,0,26,8,184
"chr4_51844502_51845102",141,79,51,0,17,40,32,51,0,12,1,53
"chr4_51895726_51896263",16,8,5,0,3,9,5,16,0,3,0,13
"chr4_51906183_51906741",63,43,16,0,8,14,8,15,0,2,1,25
"chr4_52014826_52015408",30,13,5,0,5,13,7,7,0,2,0,8
"chr4_52038063_52038732",19,10,6,0,6,6,4,7,0,1,0,9
"chr4_52051266_52052405",31,21,7,0,11,16,6,10,0,3,1,20
"chr4_52143661_52144295",31,18,10,0,3,10,5,8,0,1,0,9
"chr4_52658807_52659871",23,36,9,0,12,16,8,11,0,6,1,29
"chr4_52711987_52712626",112,73,32,1,26,49,35,71,0,10,1,67
"chr4_52721903_52722765",52,40,17,0,15,26,20,23,1,7,2,30
"chr4_52837802_52838382",35,19,10,0,7,17,7,17,0,2,0,14
"chr4_52843866_52844435",26,18,9,1,11,25,7,14,1,2,1,16
"chr4_52861762_52862731",43,40,22,2,11,37,10,24,0,9,3,32
"chr4_53307636_53308206",30,18,11,0,6,17,7,13,0,2,0,15
"chr4_53365552_53366360",66,45,18,0,25,51,20,34,0,11,1,51
"chr4_53377259_53378123",66,41,21,1,18,31,22,46,1,9,1,38
"chr4_53633528_53634075",15,10,5,0,7,9,6,8,0,3,0,11
"chr4_53676389_53676939",14,9,5,1,3,7,1,6,0,0,0,5
"chr4_53688057_53688683",24,13,9,0,6,21,7,14,0,4,0,18
"chr4_53929912_53930413",11,6,4,1,7,12,2,6,0,1,0,12
"chr4_54063678_54064899",60,48,20,1,23,49,22,38,0,12,1,48
"chr4_54091704_54092560",17,14,9,0,8,20,5,8,0,1,0,21
"chr4_54233037_54233721",31,16,9,0,13,15,8,18,0,3,1,22
"chr4_54439648_54440252",19,12,5,1,12,18,5,16,0,2,1,22
"chr4_54658417_54659008",25,19,14,0,14,27,5,22,0,3,1,27
"chr4_54687846_54688758",48,29,9,0,7,22,7,15,0,4,1,24
"chr4_54742450_54742949",6,4,4,0,1,13,3,6,1,0,0,8
"chr4_54818859_54819444",38,24,11,0,7,12,1,9,0,1,1,7
